book_id,title,author,description
101,A Guerra dos Tronos,George R.R. Martin,"Em uma terra onde o verão pode durar décadas e o inverno toda uma vida, os problemas estão apenas começando..."
102,Harry Potter e a Pedra Filosofal,J.K. Rowling,"Harry Potter é um garoto cujos pais foram mortos por um poderoso bruxo. Ele acaba sendo levado para a Escola de Magia e Bruxaria de Hogwarts."
103,O Senhor dos Anéis: A Sociedade do Anel,J.R.R. Tolkien,"Numa terra fantástica e sombria, um grupo de aventureiros se une para destruir um anel mágico e salvar seu mundo da escuridão."
104,A menina que roubava livros,Markus Zusak,"A história da menina Liesel Meminger, que encontra consolo nos livros durante a Segunda Guerra Mundial na Alemanha."
105,1984,George Orwell,"Uma distopia futurista onde um regime totalitário controla todos os aspectos da vida dos cidadãos."
106,Dom Quixote de La Mancha,Miguel de Cervantes,"As desventuras de Dom Quixote e seu fiel escudeiro Sancho Pança, enquanto lutam contra moinhos de vento que ele acredita serem gigantes."
107,Orgulho e Preconceito,Jane Austen,"A história de Elizabeth Bennet e seu complexo relacionamento com o arrogante Sr. Darcy."
108,Cem Anos de Solidão,Gabriel García Márquez,"A saga da família Buendía, numa vila fictícia na América Latina, marcada por amor, solidão e revolução."
109,Memórias Póstumas de Brás Cubas,Machado de Assis,"As reflexões de Brás Cubas, um defunto autor, sobre sua vida e as pessoas que conheceu no Rio de Janeiro do século XIX."
110,As Crônicas de Nárnia:C. S. Lewis,"Aventuras mágicas e fantasiosas de crianças que descobrem um mundo paralelo habitado por criaturas mágicas e governado pela bruxa branca."

